title,link,current_price,original_price,discount_percentage,ratings,reviews
"pTron Tangentbeat Bluetooth 5.0 Wireless Headphones with Deep Bass, Ergonomic Design, IPX4 Sweat/Waterproof Neckband, Magnetic Earbuds, Voice Assistant, Passive Noise Cancelation & Mic - (Black)",https://www.amazon.in/Tangentbeat-Bluetooth-Headphones-Waterproof-Cancelation/dp/B08D77XZX5/ref=sr_1_14?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-14,599.0,2499.0,76.03041216486595,4.1,10333
realme Buds Wireless in-Ear Bluetooth with mic (Yellow),https://www.amazon.in/realme-RMA108-Realme-Buds-Wireless/dp/B07XJWTYM2/ref=sr_1_15?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-15,1499.0,1890.0,20.68783068783069,4.1,47804
"Boult Audio ProBass X1-WL in-Ear Wireless Earphones with 8 Hours Battery Life, Latest Bluetooth 5.0, IPX5 Sweatproof Headphones with mic (Black)",https://www.amazon.in/Boult-Audio-Earphones-Sweatproof-Headphones/dp/B08CZXQC3Z/ref=sr_1_16?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-16,849.0,2999.0,71.69056352117373,4.1,25817
"Infinity Glide 120 by Harman, in Ear Wireless Earphones with Mic, Deep Bass, Dual Equalizer, Premium Metal Earbuds, Flex Neckband, Bluetooth 5.0 with Voice Assistant, IPX5 Sweatproof (Black & Red)",https://www.amazon.in/Infinity-Glide-120-Earphones-Sweatproof/dp/B082MDMW3Y/ref=sr_1_17?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-17,999.0,2990.0,66.5886287625418,3.9,22306
boAt Airdopes 171 Bluetooth Truly Wireless Earbuds with Mic(Active Black),https://www.amazon.in/Boat-Airdopes-171-Functionality-Resistance/dp/B086WNLYT8/ref=sr_1_18?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-18,1000.0,5999.0,83.33055509251543,3.9,13342
"Boult Audio ProBass Curve Bluetooth Neckband, in-Ear Wireless Earphones with 12 Hour Battery Life, Fast Charging & in-Built Mic, IPX5 Sweatproof Headphones (Black)",https://www.amazon.in/Boult-Audio-Curve-Sweatproof-Headphones/dp/B07LG59NPV/ref=sr_1_19?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-19,899.0,3499.0,74.30694484138326,3.8,59142
"pTron Bassbuds in-Ear True Wireless Bluetooth 5.0 Headphones with Hi-Fi Deep Bass, 20Hrs Playtime with Case, Ergonomic Sweatproof Earbuds, Noise Isolation, Voice Assistance & Built-in Mic - (Black)",https://www.amazon.in/pTron-Bassbuds-Wireless-Bluetooth-Headphones/dp/B07WSHWNH8/ref=sr_1_20?dchild=1&keywords=earphones+wireless&qid=1620036821&sr=8-20,799.0,1900.0,57.94736842105264,3.6,42478
OnePlus Buds Z (White),https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0647685HHZP9AANBU5Y&url=%2FOnePlus-Buds-Z-White%2Fdp%2FB07XY541GH%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036821%26sr%3D8-21-spons%26psc%3D1&qualifier=1620036821&id=1590961016309457&widgetName=sp_btf,2699.0,3190.0,15.391849529780563,4.2,17385
"Lumiford Max T85 True Wireless Earbuds with Bluetooth v5.0, Smart Touch Control, 10mm Extra Bass Driver, Binaural Call Function & 21 Hours Playtime, Splash-proof Earbuds, Secure-Fit & Type-C charging Port (white)",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A10155051FN57R1ZS7H4T&url=%2FLumiford-T85-Bluetooth-Splash-proof-Secure-Fit%2Fdp%2FB08RJRNLC3%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036821%26smid%3DA14CZOWI0VEHLG%26sr%3D8-22-spons%26psc%3D1&qualifier=1620036821&id=1590961016309457&widgetName=sp_btf,2499.0,5999.0,58.343057176196034,4.1,58
WeCool Moonwalk M2 in Ear True Wireless Earbuds with Smart Touch Control and High Bass HD Sound Quality IPX5 TWS Bluetooth Earphones with Digital Display (Black),https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01365873CR6T1TPRIKMS&url=%2FMoonwalk-M2-Wireless-Bluetooth-Earphones%2Fdp%2FB08K2XYM29%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dearphones%2Bwireless%26qid%3D1620036826%26sr%3D8-17-spons%26psc%3D1&qualifier=1620036826&id=6970539241222582&widgetName=sp_atf_next,999.0,2999.0,66.68889629876625,3.4,5103
