name,cottage_id,cottage_image,bedrooms,sleeps,rating,price
Large holiday cottage in rural Calvados, NC005640,https://www.holidayfrancedirect.co.uk/holiday-rentals/NC005640/index.htm,Bedrooms 4, Sleeps 8,10/10,£650 to £1100 pw
"Holiday home & pool, short walk to Les Eyzies", AD006131,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006131/index.htm,Bedrooms 2, Sleeps 4,9.9/10,£530 to £1270 pw
Holiday gite with heated pool in Loire Valley, LL007331,https://www.holidayfrancedirect.co.uk/holiday-rentals/LL007331/index.htm,Bedrooms 5, Sleeps 10,9.8/10,£1250 to £2350 pw
"Stylish 2 bedroom gite to let, rural Dordogne", AD007675,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007675/index.htm,Bedrooms 2, Sleeps 4,4,£875 to £2950 pw
"Large holiday gite with pool, rural Aquitaine", AT006034_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT006034_A/index.htm,Bedrooms 6, Sleeps 12,10/10,£450 to £2100 pw
Holiday gite with large garden in Brittany, BN004377,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN004377/index.htm,Bedrooms 7, Sleeps 16,9.3/10,£995 to £1320 pw
Holiday gite in Brittany, BM006279,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM006279/index.htm,Bedrooms 2, Sleeps 4,4,£500 pw
Holiday cottage and pool to rent Brittany, BM002351_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM002351_C/index.htm,Bedrooms 3, Sleeps 5,10/10,£490 to £1385 pw
"Holiday cottage, heated pool, in Brittany", BM007108,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM007108/index.htm,Bedrooms 4, Sleeps 8,8,£995 to £1805 pw
Holiday rental & pool nr St Jean,d'Angély ,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM000398_C/index.htm,Bedrooms 3, Sleeps 9,9,£850 to £1350 pw
Holiday cottage for rental in Brittany, BI003263,https://www.holidayfrancedirect.co.uk/holiday-rentals/BI003263/index.htm,Bedrooms 2, Sleeps 4,9.1/10,£425 to £595 pw
Holiday gite with a pool in the Vendee, LV007339,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV007339/index.htm,Bedrooms 2, Sleeps 4,4,£835 pw
Self catering holiday gite nr Manche, NM003994,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM003994/index.htm,Bedrooms 1, Sleeps 2,9.5/10,£385 pw
Holiday house in Brittany, BM007376,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM007376/index.htm,Bedrooms 4, Sleeps 8,8,£450 to £850 pw
"Large holiday let with private pool, Dordogne", AD005635_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD005635_B/index.htm,Bedrooms 4, Sleeps 8,8,£599 to £1599 pw
"Gite for couples to let, Midi Pyrenees", MH004549,https://www.holidayfrancedirect.co.uk/holiday-rentals/MH004549/index.htm,Bedrooms 1, Sleeps 2,10/10,£385 to £495 pw
"Renovated cottage in Cotes d'Armor, Brittany", BN003437,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN003437/index.htm,Bedrooms 1, Sleeps 4,9.8/10,£350 to £570 pw
Cottage for holiday let Charente Maritime, PM003454,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM003454/index.htm,Bedrooms 3, Sleeps 6,6.3/10,£616 to £1365 pw
"Well appointed couples holiday gite, Dordogne", AD006536,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006536/index.htm,Bedrooms 1, Sleeps 2,2,£300 to £400 pw
Holiday gite with pool in Brittany, BM007324,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM007324/index.htm,Bedrooms 4, Sleeps 6,10/10,€550 to €850 pw
Cosy holiday gite for adults rural Normandy, NM006512,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM006512/index.htm,Bedrooms 2, Sleeps 4,10/10,£469 to £525 pw
Lovely holiday cottage in Correze, UO005079,https://www.holidayfrancedirect.co.uk/holiday-rentals/UO005079/index.htm,Bedrooms 3, Sleeps 5,5,£350 to £500 pw
Tranquil cottage with own pool nr Saintes, PM003177,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM003177/index.htm,Bedrooms 4, Sleeps 6,9.9/10,£1020 to £1360 pw
