,id,title,option1,option2,option3,sku,requires_shipping,taxable,featured_image,available,price,grams,compare_at_price,position,product_id,created_at,updated_at,handle,product_type,img
17,31686412435518,The Charlie Black,8.5,,,HBB801085,True,True,,True,225.00,1814,,4,4478457544766,2020-04-09T14:08:59-05:00,2021-04-02T10:17:05-05:00,charlie-black,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16045531168830.jpg?v=1597275284
18,31686412468286,The Charlie Black,9,,,HBB801009,True,True,,True,225.00,1814,,5,4478457544766,2020-04-09T14:08:59-05:00,2021-03-26T15:55:30-05:00,charlie-black,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16045531168830.jpg?v=1597275284
19,31686412501054,The Charlie Black,9.5,,,HBB801095,True,True,,True,225.00,1814,,6,4478457544766,2020-04-09T14:08:59-05:00,2021-03-31T15:08:35-05:00,charlie-black,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16045531168830.jpg?v=1597275284
20,31686412533822,The Charlie Black,10,,,HBB801010,True,True,,True,225.00,1814,,7,4478457544766,2020-04-09T14:08:59-05:00,2021-04-01T09:29:56-05:00,charlie-black,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16045531168830.jpg?v=1597275284
21,31686412566590,The Charlie Black,10.5,,,HBB801105,True,True,,True,225.00,1814,,8,4478457544766,2020-04-09T14:08:59-05:00,2021-04-02T10:45:47-05:00,charlie-black,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16045531168830.jpg?v=1597275284
22,31686412599358,The Charlie Black,11,,,HBB801011,True,True,,True,225.00,1814,,9,4478457544766,2020-04-09T14:09:00-05:00,2021-04-04T19:09:36-05:00,charlie-black,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16045531168830.jpg?v=1597275284
23,31686412632126,The Charlie Black,11.5,,,HBB801115,True,True,,True,225.00,1814,,10,4478457544766,2020-04-09T14:09:00-05:00,2021-04-01T09:24:10-05:00,charlie-black,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16045531168830.jpg?v=1597275284
24,31686412664894,The Charlie Black,12,,,HBB801012,True,True,,True,225.00,1814,,11,4478457544766,2020-04-09T14:09:00-05:00,2021-04-04T10:40:00-05:00,charlie-black,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16045531168830.jpg?v=1597275284
25,31686412697662,The Charlie Black,13,,,HBB801013,True,True,,True,225.00,1814,,12,4478457544766,2020-04-09T14:09:00-05:00,2021-04-02T10:46:21-05:00,charlie-black,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16045531168830.jpg?v=1597275284
26,31686412730430,The Charlie Black,14,,,HBB801014,True,True,,False,225.00,1814,,13,4478457544766,2020-04-09T14:09:00-05:00,2021-04-01T10:07:45-05:00,charlie-black,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16045531168830.jpg?v=1597275284
27,31686412763198,The Charlie Black,15,,,HBB801015,True,True,,True,225.00,1814,,14,4478457544766,2020-04-09T14:09:00-05:00,2021-03-18T13:36:26-05:00,charlie-black,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-black-16045531168830.jpg?v=1597275284
28,32737597456446,The Knox Natural,6,,,HB3202006,True,True,,True,225.00,1361,,1,4804346445886,2021-01-26T12:23:38-06:00,2021-03-10T13:23:50-06:00,the-knox-natural,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983471149118.jpg?v=1615500930
29,32737597489214,The Knox Natural,7,,,HB3202007,True,True,,True,225.00,1361,,2,4804346445886,2021-01-26T12:23:38-06:00,2021-03-26T17:01:45-05:00,the-knox-natural,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983471149118.jpg?v=1615500930
30,32737597521982,The Knox Natural,7.5,,,HB3202075,True,True,,False,225.00,1361,,3,4804346445886,2021-01-26T12:23:38-06:00,2021-03-31T16:59:45-05:00,the-knox-natural,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983471149118.jpg?v=1615500930
31,32737597554750,The Knox Natural,8,,,HB3202008,True,True,,True,225.00,1361,,4,4804346445886,2021-01-26T12:23:38-06:00,2021-03-10T13:23:50-06:00,the-knox-natural,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983471149118.jpg?v=1615500930
32,32737597587518,The Knox Natural,8.5,,,HB3202085,True,True,,True,225.00,1361,,5,4804346445886,2021-01-26T12:23:38-06:00,2021-03-22T10:15:00-05:00,the-knox-natural,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983471149118.jpg?v=1615500930
33,32737597620286,The Knox Natural,9,,,HB3202009,True,True,,True,225.00,1361,,6,4804346445886,2021-01-26T12:23:38-06:00,2021-03-30T00:02:10-05:00,the-knox-natural,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983471149118.jpg?v=1615500930
34,32737597653054,The Knox Natural,9.5,,,HB3202095,True,True,,True,225.00,1361,,7,4804346445886,2021-01-26T12:23:38-06:00,2021-04-04T14:43:50-05:00,the-knox-natural,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983471149118.jpg?v=1615500930
35,32737597685822,The Knox Natural,10,,,HB3202010,True,True,,True,225.00,1361,,8,4804346445886,2021-01-26T12:23:38-06:00,2021-04-01T09:36:36-05:00,the-knox-natural,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983471149118.jpg?v=1615500930
36,32737597718590,The Knox Natural,10.5,,,HB3202105,True,True,,True,225.00,1361,,9,4804346445886,2021-01-26T12:23:38-06:00,2021-04-02T10:36:16-05:00,the-knox-natural,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983471149118.jpg?v=1615500930
37,32737597751358,The Knox Natural,11,,,HB3202011,True,True,,False,225.00,1361,,10,4804346445886,2021-01-26T12:23:38-06:00,2021-04-04T19:43:16-05:00,the-knox-natural,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983471149118.jpg?v=1615500930
38,32737597784126,The Knox Natural,11.5,,,HB3202115,True,True,,False,225.00,1361,,11,4804346445886,2021-01-26T12:23:38-06:00,2021-03-19T15:33:37-05:00,the-knox-natural,Sneakers,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-the-knox-natural-27983471149118.jpg?v=1615500930
