title,link
"HDFC Bank, Mindtree, Macrotech Developers, PVR, Future Retail among stocks in focus today",https://news.google.com/articles/CAIiENVQR-bASiE3CbsjuaYY93QqGQgEKhAIACoHCAow55veCjDzvdUBMIPh5gU?hl=en-IN&gl=IN&ceid=IN%3Aen
"Oppo A54 India Launch Today: Expected Price, Specifications, and Everything Else You Need to Know",https://news.google.com/articles/CAIiEM2PBeFhmTBIpY39dv5KHJ4qGQgEKhAIACoHCAowgubcCjC2gc8BMN3v1QY?hl=en-IN&gl=IN&ceid=IN%3Aen
New WhatsApp flaw puts users’ data at risk; Check details,https://news.google.com/articles/CAIiEEqBgTVarbAO9qSlCIAjN_oqGAgEKg8IACoHCAow3rvTBDD89X4wsLbmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
"Realme Q3 Pro specifications spotted on Geekbench: MediaTek Dimensity 1100, 8GB RAM, and more",https://news.google.com/articles/CAIiEGAzUXqSCKCAUQv0FR1mFH8qGQgEKhAIACoHCAowh6GPCzCWsaIDMJaHrgY?hl=en-IN&gl=IN&ceid=IN%3Aen
Poco M2 Reloaded with MediaTek Helio G80 chipset to launch in India on April 21,https://news.google.com/articles/CAIiEOx86SWwpmI1LVCs-m8KrWkqGQgEKhAIACoHCAowot7cCjD8xM4BMJTu8gU?hl=en-IN&gl=IN&ceid=IN%3Aen
"Ranbir Kapoor, Alia Bhatt twin in white, jet off to Maldives post Covid recovery",https://news.google.com/articles/CAIiEHvvzJ7y-V4S8cgKjZ1x2kIqFwgEKg4IACoGCAoww7k_MMevCDC93YUH?hl=en-IN&gl=IN&ceid=IN%3Aen
Rakhi Sawant's mom calls Salman Khan an 'angel' as she undergoes surgery funded by him; mother-daughter t,https://news.google.com/articles/CBMiwwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90di9uZXdzL2hpbmRpL3Jha2hpLXNhd2FudHMtbW9tLWNhbGxzLXNhbG1hbi1raGFuLWFuLWFuZ2VsLWFzLXNoZS11bmRlcmdvZXMtYS1zdXJnZXJ5LWZ1bmRlZC1ieS1oaW0tbW90aGVyLWRhdWdodGVyLXRoYW5rLWhpbS1oZWFydGlseS9hcnRpY2xlc2hvdy84MjEzOTQ1Ni5jbXPSAb4BaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vdHYvbmV3cy9oaW5kaS9yYWtoaS1zYXdhbnRzLW1vbS1jYWxscy1zYWxtYW4ta2hhbi1hbi1hbmdlbC1hcy1zaGUtdW5kZXJnb2VzLWEtc3VyZ2VyeS1mdW5kZWQtYnktaGltLW1vdGhlci1kYXVnaHRlci10aGFuay1oaW0taGVhcnRpbHkvYW1wX2FydGljbGVzaG93LzgyMTM5NDU2LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen
Kangana Ranaut takes us inside her home that she is sharing with her ‘slightly annoying friend’ during weekend curfew,https://news.google.com/articles/CAIiELBdEJGExgrXXeKhesW7riYqGAgEKg8IACoHCAow3rvTBDD89X4woabmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Sara Ali Khan And Amrita Singh Fly Off To Maldives 10 images,https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3Lm5kdHYuY29tL3Bob3Rvcy9lbnRlcnRhaW5tZW50L3NhcmEtYWxpLWtoYW4tYW5kLWFtcml0YS1zaW5naC1mbHktb2ZmLXRvLW1hbGRpdmVzLTk5ODk20gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
IPL 2021: Sanju Samson's New Nickname For Jos Buttler Has Rajasthan Royals Buzzing. Watch,https://news.google.com/articles/CBMijAFodHRwczovL3Nwb3J0cy5uZHR2LmNvbS9pcGwtMjAyMS9pbmRpYW4tcHJlbWllci1sZWFndWUtc2FuanUtc2Ftc29ucy1uZXctbmlja25hbWUtZm9yLWpvcy1idXR0bGVyLWhhcy1yYWphc3RoYW4tcm95YWxzLXNtaWxpbmctd2F0Y2gtMjQxNjk2NtIBoQFodHRwczovL3Nwb3J0cy5uZHR2LmNvbS9pcGwtMjAyMS9pbmRpYW4tcHJlbWllci1sZWFndWUtc2FuanUtc2Ftc29ucy1uZXctbmlja25hbWUtZm9yLWpvcy1idXR0bGVyLWhhcy1yYWphc3RoYW4tcm95YWxzLXNtaWxpbmctd2F0Y2gtMjQxNjk2Nj9hbXA9MSZha2FtYWktcnVtPW9mZg?hl=en-IN&gl=IN&ceid=IN%3Aen
